data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
4591896,422,LBN923,923,"06 November 2018",2018,1,Riots,"Mob violence","Rioters (Lebanon)","Students (Lebanon); Teachers (Lebanon)",5,,,0,50,"Middle East",Lebanon,"Mount Lebanon",Baabda,,Baabda,33.8339,35.5442,1,"The Daily Star (Lebanon)",National,"On Nov 6, students, parents, and teachers stormed the administrative offices of a school in Baabda after discovering that the administration was considering renting out the campus. A deal was apparently reached that would rent out the school, lay off all the teachers and leave the students without a school. The rioters reportedly broke a window.",0,1552576435,LBN
4591942,50,BGD13886,13886,"06 November 2018",2018,1,Riots,"Mob violence","Rioters (Bangladesh)",,5,"Rioters (Bangladesh)",,5,55,"Southern Asia",Bangladesh,Sylhet,Sunamganj,Chhatak,Chhatak,25.0385,91.6695,2,"The New Age Bangladesh",National,"On Nov 6, 50 people were injured as the residents of Saatgaon and Khasgaon villages of Chhatak upazila in Sunamganj clashed during an arbitration meeting over possession of the Bhaterkhal River for fishing. Report does not indicate if the rioters were armed.",0,1552576435,BGD
4591949,356,IND39660,39660,"06 November 2018",2018,1,Riots,"Mob violence","Rioters (India)",,5,"Police Forces of India (2014-) Central Reserve Police Force",,1,15,"Southern Asia",India,"Jammu and Kashmir",Kulgam,Kulgam,Qaimoh,33.7198,75.0821,2,"Rising Kashmir",Subnational,"On 6 Nov, four people were injured when CRPF troops retaliated against rioters with pellet fire at Goefbal in the Qaimoh area (Kulgam, J&K). Rioters had pelted CRPF vehicles with stones during a traffic jam.",0,1552576435,IND
4591959,356,IND39670,39670,"06 November 2018",2018,1,Riots,"Mob violence","Rioters (India)","Hindu Group (India)",5,"Civilians (India)","Hindu Group (India)",7,57,"Southern Asia",India,Kerala,Pathanamthitta,Ranni,Sabarimala,9.4356,77.0809,1,"Deccan Chronicle",National,"On November 6, in Sabarimala village (Pathanamthitta, Kerala), Hindu activists staged demonstrations and blocked entrance of women into the Sabarimala Temple, assaulting some women. The activists demonstrated against the Supreme Court decision allowing women of all ages into the temple.",0,1552576435,IND
4591968,356,IND39679,39679,"06 November 2018",2018,1,Riots,"Mob violence","Rioters (India)",,5,"Rioters (India)",,5,55,"Southern Asia",India,"Tamil Nadu",Ramanathapuram,Rameswaram,Rameswaram,9.2885,79.3127,1,"The Times of India (TOI)",National,"On November 6, in Rameswaram town (Rameswaram, TN), two unarmed groups clashed over a dispute. One woman was injured when a bottle of acid was thrown on her.",0,1552576435,IND
4591992,356,IND40249,40249,"06 November 2018",2018,1,Riots,"Mob violence","Rioters (India)",,5,"Civilians (India)","Sikh Group (India)",7,57,"Southern Asia",India,Punjab,Muktsar,Muktsar,Malout,30.1859,74.496,1,"Chandigarh Tribune",Subnational,"On 6 November, 4 men allegedly beat and cut the hair of a Sikh man near Malout village (Muktsar, Punjab). A case was filed for hurting his religious sentiments.",0,1552576435,IND
4592009,694,SIE4720,4720,"06 November 2018",2018,1,Riots,"Mob violence","Rioters (Sierra Leone)","Muslim Group (Sierra Leone)",5,"Civilians (Sierra Leone)",,7,57,"Western Africa","Sierra Leone",Western,"Western Area Urban",Freetown1,Lumley,8.4539,-13.2825,1,"Sierra Network",National,"06 November 2018: Muslim youths set a gas station on fire. They said the gas station owner would not let them pass through the gas station while that was the only way they could get to the mosque behind the station.",0,1552576435,SLE
4592054,12,ALG5538,5538,"05 November 2018",2018,1,Riots,"Mob violence","Rioters (Algeria)",,5,"Police Forces of Algeria (1999-)",,1,15,"Northern Africa",Algeria,Skikda,Skikda,,Skikda,36.8792,6.9067,2,"El Watan",National,"On the night between Nov 4 and Nov 5, a number of residents from the ""Lac des oiseaux"" impoverished area, located just south of Skikda, tried to force entry into the Abderrezak Bouhara hospital. They threw Molotov cocktails and rocks on the building before local police forces stopped them. The cause of the assault was that these residents were not chosen for a new social housing project in the area.",0,1552576435,DZA
4592069,508,MZM950,950,"05 November 2018",2018,1,Riots,"Mob violence","Rioters (Mozambique)","Vigilante Group (Mozambique)",5,"Police Forces of Mozambique (1990-)",,1,15,"Eastern Africa",Mozambique,Nampula,"Cidade De Nampula","Cidade De Nampula",Nampula,-15.12,39.2647,1,"AIM (Mozambique)",National,"On Nov 5, one day after a girl was raped in Nampula by one policeman, 5 armed men from the police force went to talk to the father of the girl, then an angry crowd attacked them. On man was shot dead by the police.",1,1552576435,MOZ
4592112,275,PSE4036,4036,"05 November 2018",2018,1,Riots,"Mob violence","Rioters (Israel)","Settlers (Israel)",5,"Civilians (Palestine)",,7,57,"Middle East",Palestine,"West Bank",Nablus,,Sarrah,32.2097,35.1915,1,"Ma'an News Agency",Subnational,"On Nov 5, a Palestinian baby was injured when Israeli settlers throwing stones outside Havat Gilad, near Sarrah, targeting the vehicle she was in. She sustained a head injury when her father stopped suddenly. She was admitted to a hospital in Nablus.",0,1552576435,PSE
4592193,356,IND39605,39605,"05 November 2018",2018,1,Riots,"Mob violence","Rioters (India)",,5,"Police Forces of India (2014-)",,1,15,"Southern Asia",India,Bihar,Patna,Patna,Patna,25.5966,85.1375,1,"The Telegraph (India)",Subnational,"On November 5, one person was killed and over a dozen others, including some police personnel, were injured during a clash in Itwarpur in Patna city (Patna district, Bihar). Residents pelted stones at the police as they were raiding a gambling place, when the police resorted to firing.",0,1552576435,IND
4592227,356,IND39639,39639,"05 November 2018",2018,1,Riots,"Mob violence","Rioters (India)",,5,"Unidentified Armed Group (India)",,3,35,"Southern Asia",India,Punjab,Fazilka,Abohar,Abohar,30.1569,74.2003,2,"The Tribune",Subnational,"On 5 November, locals of Purani Abadi near Abohar (Fazilka, Punjab) rioted, after a young bystander was shot dead during a clash between two rival groups over a girl. The people threw stones at the fighters and damaged a vehicle.",0,1552576435,IND
4592241,524,NEP4579,4579,"05 November 2018",2018,2,Riots,"Mob violence","Rioters (Nepal)","Vigilante Group (Nepal)",5,"Civilians (Nepal)",,7,57,"Southern Asia",Nepal,Central,Janakpur,Mahottari,Jaleswar,26.6492,85.8002,2,INSEC,National,"Assumed on 5 Nov, in Mahottari district (Janakpur), a woman was severely beaten by her brother-in-law on witch allegations. She was also asked to pay Rs 50,000 to local 'Panchas' and Rs 50,000 to organize a feast as a punishment and penalty, to which she refused.",0,1552576435,NPL
4592260,586,PAK45612,45612,"05 November 2018",2018,1,Riots,"Mob violence","Rioters (Pakistan)","Brohi Communal Group (Pakistan)",5,"Rioters (Pakistan)","Ahin Communal Group (Pakistan)",5,55,"Southern Asia",Pakistan,Sindh,Sanghar,"Tando Adam","Tando Adam",25.7673,68.6504,1,"Daily Regional Times",Subnational,"On Nov 5, Brohi and Ahin communal men clashed with sticks and stones over a petty matter in Tando Adam town (Sanghar, Sindh). 1 man was killed and 4 were injured.",1,1552576435,PAK
4592268,356,IND39830,39830,"05 November 2018",2018,1,Riots,"Mob violence","Rioters (India)","Vigilante Group (India)",5,"Civilians (India)",,7,57,"Southern Asia",India,"Uttar Pradesh",Aligarh,Iglas,Saharakhurd,27.7427,77.9704,1,"Asian News International",Regional,"On 5 November, a young man was beaten and humiliated by residents of Saharakhurd village (Aligarh, Uttar Pradesh) for harassing local girls and posting altered photos of them on the internet. The youth was tonsured, his face blackened, and he was paraded through the village. Locals then beat him and turned him into the police.",0,1552576435,IND
